Date,Time,Currency,News,Impact,Forecast,Previous
2017-05-08,All Day,EUR,French Market Holiday - V-E Day,high,Unknown,Unknown
2017-05-08,7:35,USD,Fed's Bullard Speaks in Florida,high,Unknown,Unknown
2017-05-09,8:00,USD,Fed's Kashkari Speaks in Minneapolis,high,Unknown,Unknown
2017-05-09,10:40,USD,Fed's George Speaks in Santa Barbara,high,Unknown,Unknown
2017-05-10,12:20,USD,Fed's Kashkari Speaks in Minnesota,high,Unknown,Unknown
2017-05-11,6:00,GBP,BoE Monetary Policy Committee Meeting and Rate Decision,high,Unknown,Unknown
2017-05-11,6:00,GBP,BoE MPC minutes released,high,Unknown,Unknown
2017-05-11,6:00,GBP,BoE Releases Quarterly Inflation Report,high,Unknown,Unknown
2017-05-11,6:00,GBP,Official Bank Rate,high,0.25%,0.25%
2017-05-11,6:00,GBP,Asset Purchase Facility,high,435.0B,435.0B
2017-05-11,6:30,GBP,BoE's Carney Speaks in London,high,Unknown,Unknown
2017-05-11,7:30,USD,PPI (m/m),high,0.20%,-0.10%
2017-05-11,7:45,USD,Bloomberg May Economic Survey,high,Unknown,Unknown
2017-05-12,7:30,USD,Retail Sales (m/m),high,0.50%,0.1%*
2017-05-12,7:30,USD,Core Retail Sales (m/m),high,0.50%,0.3%*
2017-05-12,7:30,USD,CPI (m/m),high,0.20%,-0.30%
2017-05-12,7:30,USD,Core CPI (m/m),high,0.20%,-0.10%
2017-05-12,9:00,USD,UoM Consumer Sentiment Index,high,97,97
2017-05-15,1:30,EUR,Bloomberg May Economic Survey,high,Unknown,Unknown
2017-05-16,3:30,GBP,CPI (m/m),high,0.40%,0.40%
2017-05-16,3:30,GBP,CPI (y/y),high,2.40%,2.30%
2017-05-16,4:00,EUR,ZEW (Economic Sentiment),high,Unknown,26.3
2017-05-17,4:00,EUR,CPI (y/y),high,1.90%,1.5%*
2017-05-17,10:10,USD,Former Fed Chairman Bernanke Speaks,high,Unknown,Unknown
2017-05-18,2:30,GBP,Bloomberg May Economic Survey,high,Unknown,Unknown
2017-05-18,3:30,GBP,Retail Sales (m/m),high,1.10%,-1.4%*
2017-05-18,3:30,GBP,Core Retail Sales (m/m),high,1.00%,-1.2%*
2017-05-18,3:30,GBP,Core Retail Sales (y/y),high,2.60%,2.8%*
2017-05-18,3:30,GBP,Retail Sales (y/y),high,2.10%,2.0%*
2017-05-18,3:50,EUR,ECB's Mersch Speaks in Frankfurt,high,Unknown,Unknown
2017-05-18,8:30,EUR,ECB's Mersch Speaks in Luxembourg ,high,Unknown,Unknown
2017-05-19,6:00,EUR,ECB's Coeure Speaks in Geneva,high,Unknown,Unknown
